Fiscal Year,Plan Name,State,Employee Contribution Rate,Employer Contribution Rate,Normal Cost Rate,Amortization Rate,Total Contribution Rate
2019,"Charleston Policemen's Pension and Relief Fund (PPRF)","West Virginia",7.48%,110.24%,63.64%,54.09%,117.73%
2020,"Charleston Policemen's Pension and Relief Fund (PPRF)","West Virginia",7.35%,123.62%,64.58%,66.40%,130.97%
2014,"Charlotte Firefighters' Retirement System","North Carolina",13.59%,13.01%,22.51%,4.08%,26.59%
2015,"Charlotte Firefighters' Retirement System","North Carolina",13.46%,12.65%,22.51%,3.60%,26.11%
2016,"Charlotte Firefighters' Retirement System","North Carolina",13.08%,12.65%,23.72%,2.01%,25.73%
2017,"Charlotte Firefighters' Retirement System","North Carolina",13.39%,12.65%,23.64%,2.40%,26.04%
2018,"Charlotte Firefighters' Retirement System","North Carolina",13.43%,12.65%,23.66%,2.42%,26.08%
2019,"Charlotte Firefighters' Retirement System","North Carolina",13.17%,12.65%,24.06%,1.76%,25.82%
2020,"Charlotte Firefighters' Retirement System","North Carolina",13.04%,13.86%,26.52%,0.38%,26.90%
2021,"Charlotte Firefighters' Retirement System","North Carolina",13.06%,14.00%,26.49%,0.57%,27.06%
2022,"Charlotte Firefighters' Retirement System","North Carolina",13.30%,16.00%,28.17%,1.13%,29.30%
2023,"Charlotte Firefighters' Retirement System","North Carolina",12.88%,18.00%,0.04%,30.84%,30.88%
2014,"Chicago Laborers Retirement Board Employees Annuity Benefit Fund","Illinois",8.07%,6.00%,19.01%,−4.94%,14.07%
2015,"Chicago Laborers Retirement Board Employees Annuity Benefit Fund","Illinois",8.23%,6.06%,18.75%,−4.46%,14.29%
2016,"Chicago Laborers Retirement Board Employees Annuity Benefit Fund","Illinois",8.29%,6.05%,39.85%,−25.51%,14.34%
2017,"Chicago Laborers Retirement Board Employees Annuity Benefit Fund","Illinois",8.35%,17.01%,38.49%,−13.13%,25.36%
2018,"Chicago Laborers Retirement Board Employees Annuity Benefit Fund","Illinois",8.43%,22.62%,19.29%,11.76%,31.06%
2019,"Chicago Laborers Retirement Board Employees Annuity Benefit Fund","Illinois",8.57%,28.05%,18.20%,18.41%,36.62%
2020,"Chicago Laborers Retirement Board Employees Annuity Benefit Fund","Illinois",8.72%,35.59%,18.93%,25.38%,44.31%
2021,"Chicago Laborers Retirement Board Employees Annuity Benefit Fund","Illinois",8.31%,40.06%,19.05%,29.32%,48.37%
2022,"Chicago Laborers Retirement Board Employees Annuity Benefit Fund","Illinois",8.91%,54.27%,18.37%,44.80%,63.17%
2023,"Chicago Laborers Retirement Board Employees Annuity Benefit Fund","Illinois",8.02%,51.86%,14.96%,44.91%,59.87%
2014,"Chicago Municipal Employees' Annuity Benefit Fund","Illinois",8.11%,9.34%,15.42%,2.03%,17.45%
2015,"Chicago Municipal Employees' Annuity Benefit Fund","Illinois",8.00%,9.08%,13.80%,3.28%,17.08%
2016,"Chicago Municipal Employees' Annuity Benefit Fund","Illinois",7.92%,9.09%,37.63%,−20.62%,17.01%
2017,"Chicago Municipal Employees' Annuity Benefit Fund","Illinois",7.99%,15.52%,33.95%,−10.44%,23.51%
2018,"Chicago Municipal Employees' Annuity Benefit Fund","Illinois",7.98%,20.15%,12.89%,15.25%,28.13%
2019,"Chicago Municipal Employees' Annuity Benefit Fund","Illinois",8.13%,23.20%,12.67%,18.66%,31.34%
2020,"Chicago Municipal Employees' Annuity Benefit Fund","Illinois",8.48%,26.69%,12.69%,22.48%,35.17%
2021,"Chicago Municipal Employees' Annuity Benefit Fund","Illinois",8.17%,28.64%,12.30%,24.51%,36.81%
2022,"Chicago Municipal Employees' Annuity Benefit Fund","Illinois",8.14%,44.30%,12.19%,40.25%,52.44%
2023,"Chicago Municipal Employees' Annuity Benefit Fund","Illinois",8.15%,45.20%,13.27%,40.08%,53.35%
2014,"Chicago Policemen's Annuity Benefit Fund","Illinois",8.91%,16.51%,18.56%,6.86%,25.42%
2015,"Chicago Policemen's Annuity Benefit Fund","Illinois",9.90%,52.72%,19.66%,42.97%,62.62%
2016,"Chicago Policemen's Annuity Benefit Fund","Illinois",9.06%,24.33%,19.70%,13.70%,33.40%
2017,"Chicago Policemen's Annuity Benefit Fund","Illinois",8.95%,42.98%,20.63%,31.31%,51.94%
2018,"Chicago Policemen's Annuity Benefit Fund","Illinois",8.89%,48.79%,20.16%,37.52%,57.68%
2019,"Chicago Policemen's Annuity Benefit Fund","Illinois",9.01%,47.35%,19.56%,36.81%,56.37%
2020,"Chicago Policemen's Annuity Benefit Fund","Illinois",9.50%,61.83%,23.96%,47.37%,71.33%
2021,"Chicago Policemen's Annuity Benefit Fund","Illinois",10.83%,62.68%,22.63%,50.88%,73.51%
2022,"Chicago Policemen's Annuity Benefit Fund","Illinois",8.98%,62.93%,23.11%,48.79%,71.91%
2023,"Chicago Policemen's Annuity Benefit Fund","Illinois",8.60%,70.39%,19.96%,59.02%,78.98%
2014,"Cincinnati Employees' Retirement System","Ohio",9.21%,23.09%,10.70%,21.60%,32.30%
2015,"Cincinnati Employees' Retirement System","Ohio",9.84%,17.67%,11.15%,16.36%,27.51%
2016,"Cincinnati Employees' Retirement System","Ohio",9.05%,37.64%,12.85%,33.84%,46.69%
2017,"Cincinnati Employees' Retirement System","Ohio",9.03%,15.71%,13.16%,11.58%,24.74%
2018,"Cincinnati Employees' Retirement System","Ohio",9.06%,15.64%,13.32%,11.38%,24.70%
2019,"Cincinnati Employees' Retirement System","Ohio",9.02%,15.65%,12.66%,12.02%,24.68%
2020,"Cincinnati Employees' Retirement System","Ohio",9.11%,15.75%,12.46%,12.40%,24.86%
2021,"Cincinnati Employees' Retirement System","Ohio",9.18%,15.78%,12.15%,12.81%,24.96%
2022,"Cincinnati Employees' Retirement System","Ohio",9.05%,17.10%,12.10%,14.05%,26.15%
2014,"City of Atlanta Firefighters Pension Plan","Georgia",12.02%,43.78%,25.16%,30.64%,55.80%
2015,"City of Atlanta Firefighters Pension Plan","Georgia",11.95%,44.23%,24.09%,32.08%,56.17%
2016,"City of Atlanta Firefighters Pension Plan","Georgia",12.08%,35.07%,25.60%,21.54%,47.15%
2017,"City of Atlanta Firefighters Pension Plan","Georgia",12.03%,37.70%,25.60%,24.13%,49.73%
2018,"City of Atlanta Firefighters Pension Plan","Georgia",12.66%,46.60%,25.39%,33.86%,59.25%
2019,"City of Atlanta Firefighters Pension Plan","Georgia",12.67%,44.91%,24.94%,32.63%,57.58%
2020,"City of Atlanta Firefighters Pension Plan","Georgia",12.27%,31.29%,23.59%,19.98%,43.56%
2021,"City of Atlanta Firefighters Pension Plan","Georgia",12.48%,49.20%,28.44%,33.24%,61.68%
2022,"City of Atlanta Firefighters Pension Plan","Georgia",12.86%,56.12%,21.97%,47.01%,68.98%
2014,"City of Austin Employees' Retirement System","Texas",9.36%,17.31%,16.55%,10.12%,26.67%
2015,"City of Austin Employees' Retirement System","Texas",9.68%,18.00%,16.75%,10.93%,27.68%
2016,"City of Austin Employees' Retirement System","Texas",10.50%,18.00%,18.49%,10.01%,28.50%
2017,"City of Austin Employees' Retirement System","Texas",9.13%,18.00%,17.50%,9.63%,27.13%
2018,"City of Austin Employees' Retirement System","Texas",9.07%,18.00%,17.22%,9.85%,27.07%
2019,"City of Austin Employees' Retirement System","Texas",9.27%,18.00%,17.13%,10.14%,27.27%
2020,"City of Austin Employees' Retirement System","Texas",9.84%,18.00%,16.78%,11.06%,27.84%
2021,"City of Austin Employees' Retirement System","Texas",8.99%,19.00%,16.53%,11.46%,27.99%
2022,"City of Austin Employees' Retirement System","Texas",8.97%,19.00%,17.18%,10.79%,27.97%
2023,"City of Austin Employees' Retirement System","Texas",9.34%,19.00%,20.40%,7.94%,28.34%
2014,"City of Austin Fire Fighters' Relief and Retirement Fund of Austin Texas","Texas",17.31%,22.05%,29.90%,9.46%,39.36%
2015,"City of Austin Fire Fighters' Relief and Retirement Fund of Austin Texas","Texas",17.70%,21.88%,26.54%,13.05%,39.58%
2016,"City of Austin Fire Fighters' Relief and Retirement Fund of Austin Texas","Texas",18.33%,22.05%,28.07%,12.31%,40.38%
2017,"City of Austin Fire Fighters' Relief and Retirement Fund of Austin Texas","Texas",18.70%,22.05%,27.31%,13.44%,40.75%
2018,"City of Austin Fire Fighters' Relief and Retirement Fund of Austin Texas","Texas",18.70%,22.05%,27.59%,13.16%,40.75%
2019,"City of Austin Fire Fighters' Relief and Retirement Fund of Austin Texas","Texas",18.70%,22.05%,27.43%,13.32%,40.75%
2020,"City of Austin Fire Fighters' Relief and Retirement Fund of Austin Texas","Texas",18.70%,22.05%,27.08%,13.67%,40.75%
2021,"City of Austin Fire Fighters' Relief and Retirement Fund of Austin Texas","Texas",18.70%,22.05%,28.12%,12.63%,40.75%
2022,"City of Austin Fire Fighters' Relief and Retirement Fund of Austin Texas","Texas",18.70%,22.05%,30.12%,10.63%,40.75%
2023,"City of Austin Fire Fighters' Relief and Retirement Fund of Austin Texas","Texas",18.70%,22.05%,29.80%,10.95%,40.75%
2018,"City of Austin Police Officers' Retirement and Pension Fund","Texas",13.65%,22.04%,20.45%,14.59%,35.04%
2019,"City of Austin Police Officers' Retirement and Pension Fund","Texas",13.71%,22.07%,47.00%,−11.93%,35.07%
2023,"City of Austin Police Officers' Retirement and Pension Fund","Texas",15.00%,34.51%,24.44%,25.07%,49.51%
2014,"City of Birmingham Firemen's and Policemen's Supplemental Pension System","Alabama",4.99%,5.27%,9.20%,1.07%,10.26%
2015,"City of Birmingham Firemen's and Policemen's Supplemental Pension System","Alabama",5.22%,5.69%,9.88%,1.03%,10.91%
2016,"City of Birmingham Firemen's and Policemen's Supplemental Pension System","Alabama",5.22%,5.72%,10.12%,0.83%,10.94%
2017,"City of Birmingham Firemen's and Policemen's Supplemental Pension System","Alabama",5.22%,5.63%,7.52%,3.33%,10.85%
2018,"City of Birmingham Firemen's and Policemen's Supplemental Pension System","Alabama",5.22%,6.15%,6.92%,4.45%,11.37%
2019,"City of Birmingham Firemen's and Policemen's Supplemental Pension System","Alabama",5.35%,6.56%,7.25%,4.66%,11.91%
2020,"City of Birmingham Firemen's and Policemen's Supplemental Pension System","Alabama",5.22%,6.33%,7.22%,4.33%,11.55%
2021,"City of Birmingham Firemen's and Policemen's Supplemental Pension System","Alabama",5.22%,6.45%,7.67%,4.00%,11.67%
2022,"City of Birmingham Firemen's and Policemen's Supplemental Pension System","Alabama",5.22%,8.92%,7.87%,6.27%,14.14%
2021,"City of Bismarck Police Employees' Pension Plan","North Dakota",9.26%,14.86%,12.20%,11.92%,24.12%
2022,"City of Bismarck Police Employees' Pension Plan","North Dakota",9.34%,15.30%,13.20%,11.43%,24.63%
2014,"City of Charleston West Virginia Firemen's Pension Plan","West Virginia",8.19%,91.46%,42.63%,57.02%,99.65%
2015,"City of Charleston West Virginia Firemen's Pension Plan","West Virginia",8.05%,89.10%,42.92%,54.23%,97.15%
2016,"City of Charleston West Virginia Firemen's Pension Plan","West Virginia",7.98%,94.96%,46.78%,56.16%,102.94%
2017,"City of Charleston West Virginia Firemen's Pension Plan","West Virginia",8.16%,109.18%,64.77%,52.58%,117.34%
2018,"City of Charleston West Virginia Firemen's Pension Plan","West Virginia",7.82%,116.61%,56.69%,67.74%,124.43%
2019,"City of Charleston West Virginia Firemen's Pension Plan","West Virginia",7.94%,125.17%,65.30%,67.81%,133.11%
2020,"City of Charleston West Virginia Firemen's Pension Plan","West Virginia",9.82%,137.32%,66.12%,81.02%,147.14%
2014,"City of Miami General Employees and Sanitation Employees Plan","Florida",10.36%,43.98%,12.43%,41.91%,54.33%
2015,"City of Miami General Employees and Sanitation Employees Plan","Florida",11.35%,45.93%,12.84%,44.44%,57.28%
2016,"City of Miami General Employees and Sanitation Employees Plan","Florida",11.84%,40.56%,12.54%,39.86%,52.40%
2017,"City of Miami General Employees and Sanitation Employees Plan","Florida",11.38%,35.28%,13.26%,33.41%,46.66%
2018,"City of Miami General Employees and Sanitation Employees Plan","Florida",9.76%,36.79%,13.09%,33.46%,46.55%
2019,"City of Miami General Employees and Sanitation Employees Plan","Florida",11.80%,39.21%,13.24%,37.76%,51.01%
2020,"City of Miami General Employees and Sanitation Employees Plan","Florida",11.79%,40.71%,14.94%,37.55%,52.49%
2021,"City of Miami General Employees and Sanitation Employees Plan","Florida",10.67%,41.66%,15.30%,37.04%,52.34%
2022,"City of Miami General Employees and Sanitation Employees Plan","Florida",11.90%,42.37%,14.90%,39.37%,54.27%
2014,"Colorado PERA, Denver Public Schools Fund","Colorado",8.46%,3.16%,13.10%,−1.48%,11.62%
2015,"Colorado PERA, Denver Public Schools Fund","Colorado",8.62%,1.37%,13.21%,−3.22%,9.99%
2016,"Colorado PERA, Denver Public Schools Fund","Colorado",8.54%,2.66%,13.39%,−2.19%,11.20%
2017,"Colorado PERA, Denver Public Schools Fund","Colorado",8.63%,4.19%,13.98%,−1.15%,12.82%
2018,"Colorado PERA, Denver Public Schools Fund","Colorado",8.46%,7.56%,12.56%,3.47%,16.03%
2019,"Colorado PERA, Denver Public Schools Fund","Colorado",8.90%,8.49%,12.46%,4.93%,17.39%
2020,"Colorado PERA, Denver Public Schools Fund","Colorado",9.78%,7.29%,12.06%,5.01%,17.07%
2021,"Colorado PERA, Denver Public Schools Fund","Colorado",10.95%,10.25%,13.08%,8.12%,21.20%
2022,"Colorado PERA, Denver Public Schools Fund","Colorado",11.86%,15.67%,14.05%,13.48%,27.53%
2023,"Colorado PERA, Denver Public Schools Fund","Colorado",11.73%,10.25%,12.67%,9.31%,21.98%
2014,"Colorado PERA, Judicial Fund","Colorado",10.00%,16.45%,21.00%,5.45%,26.45%
2015,"Colorado PERA, Judicial Fund","Colorado",8.95%,16.43%,23.07%,2.32%,25.39%
2016,"Colorado PERA, Judicial Fund","Colorado",8.29%,16.48%,25.95%,−1.19%,24.77%
2017,"Colorado PERA, Judicial Fund","Colorado",9.94%,16.51%,29.35%,−2.90%,26.44%
2018,"Colorado PERA, Judicial Fund","Colorado",9.31%,19.17%,26.76%,1.72%,28.48%
2019,"Colorado PERA, Judicial Fund","Colorado",9.71%,22.45%,16.42%,15.73%,32.16%
2020,"Colorado PERA, Judicial Fund","Colorado",14.05%,18.99%,16.62%,16.42%,33.04%
2021,"Colorado PERA, Judicial Fund","Colorado",16.83%,19.98%,17.55%,19.26%,36.82%
2022,"Colorado PERA, Judicial Fund","Colorado",15.60%,28.10%,17.31%,26.39%,43.69%
2023,"Colorado PERA, Judicial Fund","Colorado",12.68%,25.09%,16.40%,21.37%,37.77%
2014,"Colorado PERA, Local Division Fund","Colorado",9.12%,47.13%,10.86%,45.39%,56.25%
2015,"Colorado PERA, Local Division Fund","Colorado",9.26%,12.54%,11.22%,10.58%,21.80%
2016,"Colorado PERA, Local Division Fund","Colorado",8.62%,12.35%,10.73%,10.25%,20.98%
2017,"Colorado PERA, Local Division Fund","Colorado",8.98%,12.54%,11.92%,9.60%,21.52%
2018,"Colorado PERA, Local Division Fund","Colorado",8.78%,12.31%,12.76%,8.33%,21.09%
2019,"Colorado PERA, Local Division Fund","Colorado",9.22%,12.57%,11.06%,10.73%,21.79%
2020,"Colorado PERA, Local Division Fund","Colorado",9.59%,12.84%,11.09%,11.35%,22.44%
2021,"Colorado PERA, Local Division Fund","Colorado",10.65%,13.33%,12.87%,11.11%,23.98%
2022,"Colorado PERA, Local Division Fund","Colorado",10.62%,14.30%,12.36%,12.56%,24.93%
2023,"Colorado PERA, Local Division Fund","Colorado",10.14%,17.12%,11.89%,15.38%,27.26%
2014,"Colorado PERA, School Division Fund","Colorado",8.77%,16.89%,12.58%,13.09%,25.67%
2015,"Colorado PERA, School Division Fund","Colorado",8.79%,17.81%,12.95%,13.65%,26.60%
2016,"Colorado PERA, School Division Fund","Colorado",8.89%,18.69%,13.04%,14.53%,27.57%
2017,"Colorado PERA, School Division Fund","Colorado",8.92%,19.18%,21.34%,6.76%,28.11%
2018,"Colorado PERA, School Division Fund","Colorado",8.65%,21.93%,26.52%,4.07%,30.58%
2019,"Colorado PERA, School Division Fund","Colorado",9.07%,22.14%,12.13%,19.08%,31.21%
2020,"Colorado PERA, School Division Fund","Colorado",10.43%,20.38%,12.90%,17.92%,30.82%
2021,"Colorado PERA, School Division Fund","Colorado",11.54%,22.71%,14.34%,19.92%,34.25%
2022,"Colorado PERA, School Division Fund","Colorado",12.34%,27.36%,14.39%,25.32%,39.70%
2023,"Colorado PERA, School Division Fund","Colorado",12.30%,21.80%,13.63%,20.46%,34.10%
2014,"Colorado PERA, State Division Fund","Colorado",9.13%,17.33%,11.12%,15.33%,26.45%
2015,"Colorado PERA, State Division Fund","Colorado",9.27%,18.32%,11.71%,15.88%,27.59%
2016,"Colorado PERA, State Division Fund","Colorado",9.13%,19.25%,11.71%,16.67%,28.38%
2017,"Colorado PERA, State Division Fund","Colorado",9.24%,20.33%,18.68%,10.89%,29.57%
2018,"Colorado PERA, State Division Fund","Colorado",9.02%,22.82%,25.09%,6.76%,31.85%
2019,"Colorado PERA, State Division Fund","Colorado",9.59%,23.01%,11.51%,21.10%,32.60%
2020,"Colorado PERA, State Division Fund","Colorado",10.58%,20.92%,11.52%,19.99%,31.50%
2021,"Colorado PERA, State Division Fund","Colorado",11.94%,23.96%,13.37%,22.52%,35.90%
2022,"Colorado PERA, State Division Fund","Colorado",12.44%,28.36%,12.62%,28.18%,40.81%
2023,"Colorado PERA, State Division Fund","Colorado",12.26%,22.55%,11.75%,23.06%,34.81%
2014,"Connecticut Judicial Retirement System","Connecticut",4.92%,48.82%,22.58%,31.15%,53.73%
2015,"Connecticut Judicial Retirement System","Connecticut",5.12%,50.70%,23.28%,32.54%,55.82%
2016,"Connecticut Judicial Retirement System","Connecticut",5.25%,52.32%,24.38%,33.19%,57.57%
2017,"Connecticut Judicial Retirement System","Connecticut",4.63%,52.55%,27.86%,29.33%,57.18%
2018,"Connecticut Judicial Retirement System","Connecticut",4.76%,72.80%,32.46%,45.09%,77.56%
2019,"Connecticut Judicial Retirement System","Connecticut",4.89%,79.17%,31.27%,52.79%,84.06%
2020,"Connecticut Judicial Retirement System","Connecticut",5.00%,85.76%,31.16%,59.61%,90.76%
2021,"Connecticut Judicial Retirement System","Connecticut",4.99%,101.45%,29.55%,76.89%,106.44%
2022,"Connecticut Judicial Retirement System","Connecticut",4.58%,92.47%,29.23%,67.81%,97.05%
2023,"Connecticut Judicial Retirement System","Connecticut",5.17%,83.20%,29.84%,58.53%,88.37%
2014,"Connecticut Municipal Employees Retirement Plan","Connecticut",3.91%,14.19%,12.30%,5.80%,18.10%
2015,"Connecticut Municipal Employees Retirement Plan","Connecticut",4.47%,16.14%,12.81%,7.81%,20.61%
2016,"Connecticut Municipal Employees Retirement Plan","Connecticut",4.24%,19.18%,11.85%,11.57%,23.42%
2017,"Connecticut Municipal Employees Retirement Plan","Connecticut",4.66%,11.49%,12.95%,3.20%,16.15%
2018,"Connecticut Municipal Employees Retirement Plan","Connecticut",3.98%,28.23%,12.60%,19.61%,32.21%
2019,"Connecticut Municipal Employees Retirement Plan","Connecticut",4.06%,13.74%,14.52%,3.27%,17.79%
2020,"Connecticut Municipal Employees Retirement Plan","Connecticut",4.53%,16.51%,14.47%,6.57%,21.04%
2021,"Connecticut Municipal Employees Retirement Plan","Connecticut",5.08%,17.95%,13.63%,9.40%,23.03%
2022,"Connecticut Municipal Employees Retirement Plan","Connecticut",4.91%,20.10%,14.41%,10.60%,25.02%
2014,"Connecticut State Employees Retirement System","Connecticut",4.15%,36.38%,8.24%,32.29%,40.54%
2015,"Connecticut State Employees Retirement System","Connecticut",5.18%,37.91%,8.58%,34.51%,43.09%
2016,"Connecticut State Employees Retirement System","Connecticut",3.63%,40.36%,8.66%,35.33%,43.99%
2017,"Connecticut State Employees Retirement System","Connecticut",3.44%,40.05%,12.47%,31.02%,43.49%
2018,"Connecticut State Employees Retirement System","Connecticut",5.66%,42.10%,12.52%,35.23%,47.75%
2019,"Connecticut State Employees Retirement System","Connecticut",13.27%,42.82%,10.63%,45.45%,56.08%
2020,"Connecticut State Employees Retirement System","Connecticut",5.25%,44.01%,10.58%,38.68%,49.26%
2021,"Connecticut State Employees Retirement System","Connecticut",5.06%,46.45%,10.31%,41.20%,51.51%
2022,"Connecticut State Employees Retirement System","Connecticut",5.34%,75.24%,11.47%,69.10%,80.58%
2023,"Connecticut State Employees Retirement System","Connecticut",5.35%,78.24%,11.12%,72.47%,83.59%
2014,"Connecticut Teachers Retirement System","Connecticut",6.95%,24.15%,8.83%,22.26%,31.09%
2015,"Connecticut Teachers Retirement System","Connecticut",5.59%,24.13%,9.92%,19.81%,29.72%
2016,"Connecticut Teachers Retirement System","Connecticut",7.11%,23.65%,10.17%,20.59%,30.76%
2017,"Connecticut Teachers Retirement System","Connecticut",6.74%,23.65%,10.53%,19.86%,30.39%
2018,"Connecticut Teachers Retirement System","Connecticut",7.22%,29.44%,10.76%,25.90%,36.66%
